OE-417 Electric Emergency and Disturbance Report - Calendar Year 2019,,,,,,,,,,
Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
July,07/09/2019,1:59 AM,07/09/2019,3:50 PM,Texas: Louisiana: Arkansas: Mississippi:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
July,07/10/2019,12:10 PM,07/12/2019,12:30 PM,"Texas: Collin County, Dallas County, Denton County, Hood County, Johnson County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,57000
July,07/10/2019,12:00 PM,07/10/2019,12:15 PM,Utah: Salt Lake County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
July,07/11/2019,11:08 AM,07/11/2019,11:13 AM,Texas: Lynn County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,26,2043
July,07/13/2019,11:55 PM,07/14/2019,1:00 PM,"Louisiana: Acadia Parish, Avoyelles Parish, Catahoula Parish, Evangeline Parish, Grant Parish, Iberia Parish, LaSalle Parish, Natchitoches Parish, Rapides Parish, Sabine Parish, St. Landry Parish, St. Martin Parish, St. Mary Parish, St. Tammany Parish, Allen Parish, Beauregard Parish, Calcasieu Parish, Vermilion Parish, De Soto Parish, Jefferson Davis Parish, Red River Parish, Tangipahoa Parish, Vernon Parish, Washington Parish;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,63000
July,07/13/2019,7:15 AM,07/14/2019,5:00 PM,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55730
July,07/13/2019,6:47 PM,07/13/2019,11:37 PM,New York: New York County;,NPCC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Transmission Interruption,452,72669
July,07/17/2019,2:12 PM,07/17/2019,2:30 PM,Oklahoma: Oklahoma County;,SPP RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
July,07/19/2019,7:00 PM,07/21/2019,8:00 PM,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,400000
July,07/19/2019,9:55 AM,07/19/2019,1:00 PM,Wisconsin: Dane County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Unknown,Unknown
July,07/20/2019,7:37 AM,07/20/2019,9:20 AM,Missouri: Boone County;,SERC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,0,0
July,07/20/2019,11:55 AM,07/23/2019,12:00 AM,Wisconsin: Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,200,50000
July,07/20/2019,3:00 AM,07/22/2019,7:00 AM,"Michigan: Kent County, Newaygo County, Mecosta County, Montcalm County, Isabella County, Ionia County, Allegan County, Barry County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,160000
July,07/21/2019,11:00 PM,07/22/2019,8:54 PM,"New York: Kings County, New York County, Queens County, Bronx County, Westchester County, Richmond County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,60,45000
July,07/22/2019,4:00 PM,07/24/2019,11:00 PM,"Pennsylvania: Bucks County, Delaware County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,165000
July,07/22/2019,5:50 PM,07/25/2019,1:15 PM,New Jersey: Gloucester County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,49,95600
July,07/23/2019,11:55 PM,07/23/2019,11:56 PM,Nebraska:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
July,07/23/2019,3:22 AM,07/23/2019,5:40 AM,California: Santa Cruz County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,25
July,07/23/2019,11:55 PM,07/24/2019,5:22 AM,Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
July,07/23/2019,3:39 PM,07/23/2019,7:00 PM,Massachusetts:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,54,54535
July,07/24/2019,1:30 PM,07/24/2019,1:31 PM,Utah: Iron County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,1
July,07/24/2019,8:01 AM,07/24/2019,12:49 PM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
July,07/28/2019,6:48 PM,07/28/2019,7:18 PM,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
July,07/30/2019,8:45 AM,07/30/2019,9:45 AM,Louisiana:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Unknown,13720
August,08/02/2019,6:24 PM,08/02/2019,7:28 PM,Washington: Clark County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
August,08/02/2019,1:49 AM,08/02/2019,1:55 AM,Minnesota: Chisago County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
August,08/05/2019,5:23 PM,08/06/2019,12:02 AM,Oregon: Umatilla County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,66,Unknown
August,08/07/2019,3:00 PM,08/07/2019,3:30 PM,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
August,08/07/2019,8:40 AM,Unknown,Unknown,Washington: Pierce County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
August,08/07/2019,9:30 AM,08/07/2019,11:15 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
August,08/08/2019,4:16 PM,08/08/2019,10:41 PM,Ohio:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Unknown,5600
August,08/09/2019,9:53 AM,08/09/2019,10:46 AM,Texas: Travis County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
August,08/10/2019,4:11 PM,08/10/2019,4:46 PM,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
August,08/10/2019,7:59 PM,08/10/2019,9:04 PM,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
August,08/13/2019,10:00 AM,08/13/2019,11:00 AM,California: Placer County;,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,Vandalism,0,0
August,08/13/2019,12:00 AM,Unknown,Unknown,North Dakota: Mercer County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown
August,08/13/2019,3:10 PM,08/13/2019,5:30 PM,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
August,08/15/2019,8:30 AM,Unknown,Unknown,New York: Tompkins County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,150,Unknown
August,08/15/2019,11:03 PM,08/16/2019,12:37 AM,California: Marin County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Distribution Interruption,80,61318
August,08/15/2019,11:00 AM,08/15/2019,3:30 PM,Kentucky: Ohio County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
August,08/15/2019,3:11 PM,08/15/2019,6:00 PM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
August,08/15/2019,3:07 AM,08/15/2019,3:56 AM,District of Columbia: Maryland:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
August,08/18/2019,4:47 PM,08/18/2018,11:00 PM,Texas:,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Distribution Interruption,752,86373
August,08/18/2019,4:30 PM,08/18/2019,10:00 PM,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Transmission Interruption/Distribution Interruption,259,61000
August,08/18/2019,3:59 PM,08/18/2019,11:00 PM,Louisiana: Texas:,SPP RE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Transmission Interruption,271,86373
August,08/21/2019,7:56 AM,Unknown,Unknown,Ohio:,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,1397
August,08/21/2019,3:30 PM,Unknown,Unknown,Massachusetts: Middlesex County[13];,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
August,08/24/2019,4:10 PM,08/24/2019,7:28 PM,Washington:,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
August,08/25/2019,1:44 AM,08/25/2019,2:20 AM,Washington: King County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
August,08/26/2019,9:09 AM,08/26/2019,1:34 PM,North Dakota:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
August,08/26/2019,7:00 PM,08/27/2019,3:00 AM,Oklahoma:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,95000
August,08/26/2019,7:00 PM,08/29/2019,1:00 PM,Oklahoma:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,103779
August,08/29/2019,11:30 PM,08/30/2019,5:30 PM,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
August,08/31/2019,3:05 PM,08/31/2019,3:46 PM,Pennsylvania: New Jersey:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
August,08/31/2019,4:00 PM,09/02/2019,6:00 AM,California: Calaveras County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
